Year,Inflation rate compared to previous year
2024*,3.04%
2023*,3.04%
2022*,3.04%
2021*,3.04%
2020*,3.69%
2019*,3.61%
2018,3.24%
2017,4.31%
2016,7.51%
2015,5%
2014,2.91%
2013,2.02%
2012,3.17%
2011,3.42%
2010,2.27%
2009,4.2%
2008,7%
2007,5.55%
2006,4.3%
2005,5.05%
2004,5.91%
2003,7.12%
2002,6.35%
2001,7.96%
2000,9.22%
1999,18.88%
1998,18.65%
1997,18.48%
1996,20.8%
1995,20.88%
1994,22.85%
1993,22.45%
1992,27.02%
1991,30.32%
1990,29.12%
1989,25.94%
1988,28.1%
1987,23.33%
1986,18.85%
1985,23.91%
1984,16.28%
