Month,USD RUB exchange rate
Jan 20,63.89
Dec 19,61.97
Nov 19,64.06
Oct 19,63.75
Sep 19,64.62
Aug 19,66.49
Jul 19,63.49
Jun 19,63.06
May 19,64.92
Apr 19,64.43
Mar 19,64.91
Feb 19,65.73
Jan 19,65.41
Dec 18,69.52
Nov 18,66.07
Oct 18,65.65
Sep 18,66.82
Aug 18,68.2
Jul 18,63.29
Jun 18,62.83
Apr 18,62.95
Mar 18,57.25
Feb 18,56.79
Jan 18,55.94
Dec 17,56.97
Nov 17,58.45
Oct 17,58.26
Sep 17,57.52
Aug 17,58.46
Jul 17,59.48
Jun 17,59.42
May 17,56.53
Apr 17,56.97
Mar 17,55.98
Feb 17,58.18
Jan 17,59.72
Dec 16,60.34
Nov 16,65.14
Oct 16,63.04
Sep 16,63.08
Aug 16,65.28
Jul 16,66.58
Jun 16,63.82
May 16,65.67
Apr 16,64.56
Mar 16,67.68
Feb 16,76.34
Jan 16,76.55
Dec 15,73.23
Nov 15,66.63
Oct 15,64.3
Sep 15,65.8
Aug 15,65.11
Jul 15,59.6
Jun 15,55.71
May 15,52.69
April 15,50.99
Mar 15,57.53
Feb 15,61.14
Jan 15,68.74
Dec 14,56.56
Nov 14,49.26
Oct 14,41.01
Sep 14,39.56
Aug 14,36.94
Jul 14,35.63
Jun 14,33.84
May 14,34.62
Apr 14,35.59
Mar 14,35.15
Feb 14,35.99
