Month,Number of players in thousands
Jan '20,59.19
Dec '19,84.08
Nov '19,87.62
Oct '19,60.93
Sept '19,80.47
Aug '19,96.26
Jul '19,94.91
Jun '19,74.26
May '19,97.07
Apr '19,107.9
Mar '19,115.1
Feb '19,74.47
Jan '19,82.27
Dec '18,89.03
Nov '18,131.77
Oct '18,99.74
Sept '18,86.98
Aug '18,107.1
Jul '18,118.19
Jun '18,129.0
May '18,73.1
Aprl '18,85.23
Mar '18,81.34
Feb '18,82.38
Jan '18,69.0
Dec '17,76.56
Nov '17,102.97
Oct '17,121.38
Sept '17,58.61
Aug '17,55.74
Jul '17,58.31
Jun '17,51.42
May '17,47.73
Apr '17,50.82
Mar '17,69.53
Feb '17,45.31
Jan '17,47.13
Dec '16,56.81
Nov '16,68.53
Oct '16,34.09
Sept '16,39.04
Aug '16,46.27
Jul '16,61.42
Jun '16,41.74
May '16,44.09
Apr '16,47.24
Mar '16,66.31
Feb '16,49.68
Jan '16,50.18
