Year,Inflation rate compared to previous year
2024*,1.99%
2023*,1.99%
2022*,1.99%
2021*,2.1%
2020*,2.24%
2019*,2.12%
2018,1.07%
2017,0.64%
2016,0.87%
2015,2.7%
2014,1.85%
2013,2.05%
2012,2.38%
2011,2.94%
2010,1.28%
2009,3.04%
2008,5.34%
2007,1.13%
2006,4.91%
2005,1.99%
2004,0.25%
2003,0.63%
2002,2.82%
2001,4.45%
2000,1.25%
1999,1.83%
1998,3.18%
1997,4.78%
1996,3.92%
1995,25.81%
1994,12.66%
1993,-3.72%
1992,1.89%
1991,-0.6%
1990,1.5%
1989,1.6%
1988,1.71%
1987,2.79%
1986,4.3%
1985,4.2%
1984,12.1%
