Response,Share of respondents
Search engine for general web search,69.8%
Search engine for images or photos,39.4%
Social media websites,36.5%
Online travel agency websites,28.6%
Airbnb.com,24.7%
"Online video (YouTube.com, etc)",20.3%
Ask friends on social media,17.1%
Official tourism office website,16.2%
Travel-related podcasts,12.6%
Map websites or mapping apps,11.1%
Email travel newsletters,9.9%
"Digital assistant (Siri, Google Now, etc)",9.3%
User review websites,8.6%
"Blogs, articles or stories",7.2%
