Operating System,Percentage of users
Windows,-
Windows 10(64 bit),76.23%
Windows 7(64 bit),16.04%
Windows 8.1(64 bit),2.46%
Windows 7,0.85%
Windows 8(64 bit),0.19%
Windows 10,0.16%
OSX,-
MacOS 10.14.6(64 bit),1.39%
MacOS 10.13.6(64 bit),0.48%
MacOS 10.15.0(64 bit),0.29%
MacOS 10.14.5(64 bit),0.29%
MacOS 10.12.6(64 bit),0.19%
MacOS 10.11.6(64 bit),0.12%
MacOS 10.14.4(64 bit),0.07%
MacOS 10.14.0(64 bit),0.06%
MacOS 10.14.3(64 bit),0.06%
Linux,-
Ubuntu 18.04.3 LTS(64 bit),0.17%
Ubuntu 19.04(64 bit),0.09%
"""Arch Linux""(64 bit)",0.09%
"""Manjaro Linux""(64 bit)",0.08%
