Month,Number of words
Donald J. Trump (2017),1433
Barack H. Obama (2013),2137
Barack H. Obama (2009),2404
George W. Bush (2005),2065
George W. Bush (2001),1571
William J. Clinton (1997),2155
William J. Clinton (1993),1580
George H. W. Bush (1989),2283
Ronald W. Reagan (1985),2564
Ronald W. Reagan (1981),2463
James E. Carter (1977),1228
Gerald R. Ford (1974),850
Richard M. Nixon (1973),1668
Richard M. Nixon (1969),2123
Lyndon Baines Johnson (1965),1492
Lyndon Baines Johnson (1963),0
John F. Kennedy (1961),1364
Dwight D. Eisenhower (1957),1655
Dwight D. Eisenhower (1953),2446
Harry S Truman (1949),2273
Harry S Truman (1945),0
Franklin D. Roosevelt (1945),557
Franklin D. Roosevelt (1941),1340
Franklin D. Roosevelt (1937),1808
Franklin D. Roosevelt (1933),1880
Herbert C. Hoover (1929),3801
Calvin Coolidge (1925),4054
Calvin Coolidge (1923),0
Warren G. Harding (1921),3326
Woodrow Wilson (1917),1526
Woodrow Wilson (1913),1699
William H. Taft (1909),5426
Theodore Roosevelt (1905),983
Theodore Roosevelt (1901),0
William McKinley (1901),2215
William McKinley (1897),3964
Grover Cleveland (1893),2012
Benjamin Harrison (1889),4392
Grover Cleveland (1885),1681
Chester A. Arthur (1881),0
James A. Garfield (1881),2975
Rutherford B. Hayes (1877),2481
Ulysses S. Grant (1873),1337
Ulysses S. Grant (1869),1122
Andrew Johnson (1865),0
Abraham Lincoln (1865),698
Abraham Lincoln (1861),3628
James Buchanan (1857),2822
Franklin Pierce (1853),3329
Millard Fillmore (1850),0
Zachary Taylor (1849),1087
James K. Polk (1845),4801
John Tyler (1841),0
William H. Harrison (1841),8445
Martin Van Buren (1837),3832
Andrew Jackson (1833),1172
Andrew Jackson (1829),1125
John Quincy Adams (1825),2911
James Monroe (1821),4456
James Monroe (1817),3366
James Madison (1813),1210
James Madison (1809),1174
Thomas Jefferson (1805),2151
Thomas Jefferson (1801),1721
John Adams (1797),2318
George Washington (1793),133
George Washington (1789),1419
