Year,Gross domestic product in billion U.S. dollars
2024*,1596.01
2023*,1489.69
2022*,1390.18
2021*,1297.18
2020*,1204.83
2019*,1111.71
2018,1022.45
2017,1015.29
2016,932.07
2015,860.74
2014,891.05
2013,916.65
2012,919.0
2011,892.59
2010,755.26
2009,577.54
2008,558.58
2007,470.14
2006,396.29
2005,310.82
2004,279.56
2003,255.43
2002,212.81
2001,174.51
2000,179.48
1999,169.16
1998,115.32
1997,260.68
1996,274.72
1995,244.23
1994,213.73
1993,190.91
1992,168.28
1991,154.56
1990,138.26
1989,122.58
1988,107.28
1987,95.21
1986,101.22
1985,107.06
1984,107.22
