Month,Share of respondents
The Big Bang Theory,24%
Two and a Half Men,20%
Game of Thrones,18%
The Walking Dead,17%
How I Met Your Mother,14%
The Simpsons,14%
King of Queens,13%
Navy CIS,12%
Grey's Anatomy,11%
Tatort,11%
Scrubs,11%
Criminal Minds,11%
The X Files,10%
Breaking Bad,10%
Fear the Walking Dead,9%
"Gute Zeiten, schlechte Zeiten",9%
Navy CIS: L.A.,9%
CSI: Miami,9%
Dr. House,9%
The Flash,9%
Alarm für Cobra 11 - Die Autobahnpolizei,9%
Bones,9%
Prison Break,8%
CSI,8%
Supernatural,8%
The Mentalist,8%
Sherlock,8%
Star Trek - Enterprise / Voyager / Deep Space 9,8%
Sex and the City,8%
Family Guy,8%
CSI: NY,8%
Castle,7%
Law & Order,7%
Rizzoli & Isles,7%
American Horror Story,7%
Arrow,7%
Vampire Diaries,7%
South Park,7%
Desperate Housewives,7%
Dexter,7%
Full House,7%
The Blacklist,7%
Supergirl,7%
Friends,6%
Mike & Molly,6%
Stargate - Atlantis / Universe,6%
The 100,6%
House of Cards,6%
Marvel's Agents of S.H.I.E.L.D.,6%
Malcolm in the Middle,6%
