Month,Sales in billion U.S. dollars
Jan '20,35.39
Dec '19,36.17
Nov '19,36.72
Oct '19,36.75
Sep '19,35.57
Aug '19,34.4
Jul '19,33.47
Jun '19,32.86
May '19,33.04
Apr '19,32.44
Mar '19,32.62
Feb '19,32.87
Jan '19,35.48
Dec '18,38.22
Nov '18,41.11
Oct '18,42.11
Sep '18,41.62
Aug '18,40.66
Jul '18,39.5
Jun '18,39.31
May '18,38.72
Apr '18,37.61
Mar '18,37.1
Feb '18,36.77
Jan '18,37.6
Dec '17,37.99
Nov '17,37.69
Oct '17,37.09
Sep '17,35.95
Aug '17,34.96
Jul '17,33.65
Jun '17,32.64
May '17,31.93
Apr '17,31.35
Mar '17,30.89
Feb '17,30.39
Jan '17,30.64
Dec '16,31.01
Nov '16,31.02
Oct '16,30.43
Sep '16,29.43
Aug '16,28.24
Jul '16,27.08
Jun '16,26.41
May '16,26.07
Apr '16,25.85
Mar '16,26.11
Feb '16,26.02
Jan '16,26.88
Dec '15,27.62
Nov '15,28.88
Oct '15,28.97
Sep '15,28.41
Aug '15,27.88
Jul '15,27.86
Jun '15,27.99
May '15,28.11
Apr '15,27.61
Mar '15,27.72
Feb '15,27.74
Jan '15,28.55
Dec '14,29.13
Nov '14,29.77
Oct '14,29.68
Sep '14,29.23
Aug '14,28.46
Jul '14,28.07
Jun '14,27.4
May '14,26.86
Apr '14,26.34
Mar '14,26.16
Feb '14,26.04
Jan '14,26.26
Dec '13,26.65
Nov '13,27.19
Oct '13,27.09
Sep '13,26.85
Aug '13,26.1
Jul '13,25.53
Jun '13,24.88
May '13,24.69
Apr '13,23.62
Mar '13,23.48
Feb '13,23.23
Jan '13,24.17
Dec '12,24.74
Nov '12,25.51
Oct '12,25.22
Sep '12,24.79
Aug '12,24.3
Jul '12,24.29
Jun '12,24.36
May '12,24.4
Apr '12,24.06
Mar '12,23.28
Feb '12,22.95
Jan '12,23.16
