State,"Motor vehicle theft rate per 100,000 inhabitants"
Alaska,541.9
New Mexico,485.8
Hawaii,397.7
Oregon,395.1
California,392.4
Nevada,392.3
Colorado,380.5
District of Columbia,369.1
Washington,367.3
Oklahoma,337.0
Missouri,323.4
Tennessee,301.9
South Carolina,281.9
Kansas,269.4
Alabama,268.3
Arizona,266.9
Montana,263.2
Nebraska,252.6
Louisiana,247.6
Utah,244.5
Texas,243.2
Arkansas,236.0
Georgia,235.4
North Dakota,233.5
Kentucky,229.6
Indiana,229.1
United States,228.9
Connecticut,206.7
Maryland,200.9
Florida,193.3
Minnesota,180.5
Michigan,174.6
South Dakota,172.7
Ohio,170.3
North Carolina,169.8
Illinois,153.8
Delaware,152.6
Iowa,148.5
Wisconsin,148.5
Wyoming,145.2
Rhode Island,144.8
Mississippi,144.0
West Virginia,139.5
Virginia,126.5
New Jersey,123.9
Idaho,112.0
Pennsylvania,102.4
Massachusetts,95.7
New York,67.2
New Hampshire,64.1
Maine,58.1
Vermont,40.4
