Year,Inflation rate compared to previous year
2024*,5%
2023*,5%
2022*,5%
2021*,4.69%
2020*,3.8%
2019,3.18%
2018,2.63%
2017,5.63%
2016,5.46%
2015,5.41%
2014,3.08%
2013,4.91%
2012,12.68%
2011,15.01%
2010,3.72%
2009,13.02%
2008,12.04%
2007,6.09%
2006,7.22%
2005,8.6%
2004,3.67%
2003,8.71%
2002,-0.3%
2001,1.92%
2000,3.38%
1999,5.76%
1998,5.83%
1997,7.73%
1996,7.52%
1995,6.79%
1994,5.85%
1993,29.97%
1992,42.25%
1991,20.82%
1990,45.4%
1989,130.8%
1988,166.7%
1987,215.4%
1986,143.8%
1985,100%
1984,16.71%
