Response,Share of respondents
Salary/benefits/financial incentives,84%
Work-life balance,64%
Opportunity for advancement,62%
Training/development programs,58%
Opportunity to work with knowledgeable colleagues,46%
Communication/feedback received during application,42%
Flexible work arrangements,42%
Corporate culture,34%
Corporate reputation,34%
Environmentally friendly/responsible work practices,34%
Corporate values that match your own,34%
Exposure to technologies and equipment,29%
Derive more sense of meaning from work,28%
Diversity/equal opportunities record,28%
Global/international opportunities,24%
Non-traditional perks/benefits,24%
Corporate sovereignty/goodwill,17%
