State,Number of cases per worker
Missouri,176
Iowa,167
Utah,166
Indiana,144
New Hampshire,138
New Mexico,128
Oregon,124
Massachusetts,120
Rhode Island,114
Arizona,113
Nebraska,108
Illinois,101
West Virginia,90
Louisiana,88
Kansas,88
Idaho,87
Washington,80
Nevada,75
Arkansas,74
National average,72
Maine,71
Michigan,69
Tennessee,67
Minnesota,63
Hawaii,62
Vermont,61
Virginia,59
Alaska,59
Oklahoma,58
North Carolina,57
Alabama,57
District of Columbia,56
Texas,53
Montana,53
Connecticut,50
Kentucky,49
South Dakota,48
New Jersey,45
Delaware,45
Mississippi,36
Puerto Rico,22
