Popular Tweet,Number of retweets
Yusaku Maezawa: offering 1M yen each to 100 randomly selected people who retweeted the message and followed him (Jan '19),4.2
"Yusaku Maezawa: giveaway, with 1bn yen being promises to 1,000 people (Dec '19)",3.9
Carter Wilkerson: Wendys free chicken nuggets (Apr '17),3.4
Ellen DeGeneres: 2014 Oscars photo (Mar '14),3.1
"Louis Tomlinson: Always in my heart @Harry_Styles . Yours sincerely, Louis (Oct '11)",2.5
El Rubius: LIMONADA (Aug '16),1.6
"Barack Obama: ""No one is born hating another person because of the color of his skin..."" (Aug '17)",1.5
El Rubius: LIMONADA 2.0 (Sep '18),1.3
Jimmy Donaldson (MrBeast): $10k giveaway based on retweet on the occasion of his birthday (May '19),1.1
BTS: Duh (emoji) (Jungkook dancing to Billie Eilish’s hit “Bad Guy”),1.0
