Category Of Finance Sector,Value in billion U.S. dollars
Finance,68.09
Electronic technology,61.35
Technology services,47.84
Process industries,38.17
Health technology,29.18
Commercial services,16.87
Producer manufacturing,15.86
Distribution services,15.31
Industrial services,13.2
Consumer non-durables,10.94
Utilities,10.22
Consumer services,9.74
Communications,8.84
Non-energy minerals,8.55
Consumer durables,7.25
Energy minerals,7.02
Health services,5.08
Retail trade,3.22
Transportation,2.82
Miscellaneous,0.17
Government,0.01
