Month,Units sold
Dec 19,2901
Nov 19,2874
Oct 19,2513
Sep 19,6863
Aug 19,1798
Jul 19,4435
Jun 19,4015
May 19,4643
Apr 19,3628
Mar 19,11023
Feb 19,2226
Jan 19,3887
Dec 18,2010
Nov 18,2872
Oct 18,3281
Sep 18,7991
Aug 18,1786
Jul 18,3431
Jun 18,5144
May 18,4408
Apr 18,4024
Mar 18,9050
Feb 18,2133
Jan 18,3488
Dec 17,2180
Nov 17,2849
Oct 17,3016
Sep 17,8301
Aug 17,2054
Jul 17,3206
Jun 17,4685
May 17,4028
Apr 17,2789
Mar 17,12977
Feb 17,2120
Jan 17,3250
Dec 16,2653
Nov 16,3030
Oct 16,3515
Sep 16,9108
Aug 16,2593
Jul 16,4311
Jun 16,6005
May 16,5783
Apr 16,4639
Mar 16,13734
Feb 16,3046
Jan 16,4574
Dec 15,4775
Nov 15,4216
Oct 15,4683
Sep 15,12496
Aug 15,2863
Jul 15,5496
Jun 15,7466
May 15*,6301
Apr 15,6458
Mar 15,16770
Feb 15,3074
Jan 15,5414
Dec 14,5182
Nov 14,5925
Oct 14,5748
Sep 14,14270
Aug 14,3003
Jul 14,5179
