State,Real GDP in billion chained (2012) U.S. dollars
California,2798.68
Texas,1799.06
New York,1462.69
Florida,953.21
Illinois,783.07
Pennsylvania,729.75
Ohio,616.74
New Jersey,565.53
Georgia,540.6
Washington,533.11
Massachusetts,519.92
North Carolina,509.61
Virginia,486.89
Michigan,474.3
Maryland,374.65
Colorado,354.3
Minnesota,339.65
Indiana,332.95
Tennessee,331.63
Arizona,322.29
Wisconsin,306.26
Missouri,291.86
Connecticut,249.47
Louisiana,241.43
Oregon,222.82
South Carolina,213.87
Alabama,203.29
Oklahoma,202.06
Kentucky,189.57
Iowa,173.94
Utah,165.42
Kansas,156.38
Nevada,154.58
District of Columbia,126.17
Arkansas,119.82
Nebraska,115.18
Mississippi,104.46
New Mexico,97.53
Hawaii,83.46
New Hampshire,78.06
Idaho,72.71
West Virginia,72.29
Delaware,63.26
Maine,58.63
Rhode Island,55.13
Alaska,54.73
North Dakota,54.22
Montana,47.32
South Dakota,46.92
Wyoming,39.47
Vermont,30.53
