Concession stands at NHL stadiums,Beer price in U.S. dollars
New York Rangers (24),10.5
New York Islanders (16),9.75
Minnesota Wild (20),9.5
St. Louis Blues (20),9
Los Angeles Kings (20),8.5
New Jersey Devils (16),8.5
Philadelphia Flyers (20),8.5
Boston Bruins (16),8.5
Anaheim Ducks (16),8.25
Florida Panthers (16),8
Chicago Blackhawks (16),8
Washington Capitals (24),8
Buffalo Sabres (20),8
Vancouver Canucks (16),7.58
NHL average (16),7.45
Winnipeg Jets (12),7.36
Calgary Flames (18),7.01
Nashville Predators (12),6.75
Colorado Avalanche (12),6.75
Detroit Red Wings (16),6.5
Carolina Hurricanes (16),6.5
Toronto Maple Leafs (16),6.47
Edmonton Oilers (12),6.25
San Jose Sharks (16),6.25
Montreal Canadians (14),6.01
Dallas Stars (16),6
Tampa Bay Lightning (12),5.5
Columbus Blue Jackets (12),5.5
Ottawa Senators (14),5.35
Pittsburgh Pinguins (12),5.25
Phoenix Coyotes (16)**,-
