Year,Gross domestic product in billion U.S. dollars
2024*,2296.03
2023*,2188.89
2022*,2084.3
2021*,1987.82
2020*,1893.01
2019*,1847.02
2018,1867.82
2017,2052.81
2016,1795.37
2015,1799.88
2014,2456.11
2013,2471.56
2012,2464.4
2011,2613.99
2010,2207.62
2009,1667.68
2008,1694.87
2007,1396.11
2006,1106.37
2005,890.67
2004,668.43
2003,557.68
2002,509.36
2001,559.96
2000,655.44
1999,599.87
1998,865.12
1997,884.31
1996,850.42
1995,786.54
1994,546.57
1993,429.03
1992,382.33
1991,399.11
1990,455.17
1989,439.28
1988,319.99
1987,286.44
1986,263.16
1985,226.86
1984,142.91
