Year,Inflation rate compared to previous year
2024*,3.49%
2023*,3.49%
2022*,3.6%
2021*,3.81%
2020*,3.47%
2019*,3.79%
2018,3.67%
2017,3.45%
2016,8.74%
2015,9.03%
2014,6.33%
2013,6.2%
2012,5.4%
2011,6.64%
2010,5.04%
2009,4.89%
2008,5.68%
2007,3.64%
2006,4.18%
2005,6.87%
2004,6.6%
2003,14.71%
2002,8.45%
2001,6.84%
2000,7.04%
1999,4.86%
1998,3.2%
1997,6.93%
1996,15.76%
1995,66.01%
1994,"2,075.83%"
1993,"1,927.38%"
1992,951.96%
1991,432.77%
1990,"2,947.73%"
1989,"1,430.72%"
1988,629.12%
1987,228.33%
1986,147.14%
1985,226.03%
1984,192.12%
