Country,Percentage of population
Israel,17.9%
United States,17.8%
Korea,17.4%
Turkey**,17.2%
Lithuania*,16.9%
Latvia *,16.8%
Mexico*,16.6%
Chile*,16.5%
Japan**,15.7%
Estonia *,15.7%
Spain *,15.5%
Greece *,14.4%
Italy*,13.7%
Russia,12.7%
Portugal *,12.5%
Australia*,12.1%
Canada,12.1%
United Kingdom,11.9%
Luxembourg*,11.1%
Germany *,10.4%
Poland *,10.3%
Austria *,9.8%
Belgium *,9.7%
Sweden,9.3%
Ireland*,9.2%
Switzerland**,9.1%
Slovenia *,8.7%
Slovak Republic *,8.5%
Norway,8.4%
Netherlands***,8.3%
France *,8.3%
Hungary *,7.8%
Finland,6.3%
Denmark *,5.8%
Czech Republic *,5.6%
Iceland **,5.4%
