Year,Gross domestic product in billion U.S. dollars
2024*,505.16
2023*,470.16
2022*,438.68
2021*,409.53
2020*,381.52
2019*,365.3
2018,358.58
2017,318.96
2016,301.26
2015,301.36
2014,342.87
2013,323.28
2012,314.44
2011,297.96
2010,255.02
2009,208.91
2008,238.65
2007,199.96
2006,168.08
2005,148.25
2004,133.97
2003,118.34
2002,108.3
2001,99.64
2000,100.72
1999,85.0
1998,77.51
1997,107.57
1996,108.3
1995,95.4
1994,79.99
1993,71.84
1992,63.52
1991,52.77
1990,46.58
1989,41.1
1988,37.32
1987,34.05
1986,29.88
1985,33.61
1984,36.57
