Year,Gross domestic product in billion U.S. dollars
2024*,427.46
2023*,404.42
2022*,382.8
2021*,362.52
2020*,343.18
2019*,327.9
2018,330.97
2017,311.8
2016,282.72
2015,293.49
2014,381.24
2013,381.84
2012,370.35
2011,334.48
2010,286.04
2009,232.57
2008,242.03
2007,205.76
2006,161.36
2005,145.16
2004,115.99
2003,93.75
2002,97.02
2001,97.27
2000,98.93
1999,102.78
1998,117.32
1997,127.06
1996,115.73
1995,110.19
1994,97.33
1993,77.46
1992,68.35
1991,57.76
1990,55.88
1989,54.86
1988,54.41
1987,50.47
1986,48.48
1985,48.42
1984,53.08
