Stadium,Capacity
Signal Iduna Park (Borussia Dortmund),81359
Allianz Arena (FC Bayern Munich),75024
Olympiastadion (Hertha BSC Berlin),74400
Veltins Arena (FC Schalke 04),62271
Merkur Spiel-Arena (Fortuna Düsseldorf),54600
Borussia Park (Borussia Mönchengladbach),54022
Commerzbank-Arena (Eintracht Frankfurt),51500
RheinEnergieStadion (1. FC Köln),50997
Red Bull Arena (Leipzig),42558
Wohninvest Weserstadion (SV Werder Bremen),42100
Opel Arena (1. FSV Mainz 05),34000
WWK Arena (FC Augsburg),30660
BayArena (Bayer 04 Leverkusen),30210
PreZero Arena (TSG Hoffeneim),30150
Volkswagen Arena (VfL Wolfsburg),30000
Schwarzwald Stadion (SC Freiburg),24000
An der Alten Försterei (1. FC Union Berlin),22012
Benteler Arena (SC Paderborn 07),15000
