Schools,Shanghai Ranking Score
Harvard University,100.0
Stanford University,75.1
University of Cambridge,72.3
Massachusetts Institute of Technology (MIT),69.0
"University of California, Berkeley",67.9
Princeton University,60.0
University of Oxford,59.7
Columbia University,59.1
California Institute of Technology,58.6
University of Chicago,55.1
"University of California, Los Angeles",50.8
Yale University,50.8
Cornell University,49.8
University of Washington,48.7
University College London,47.9
Johns Hopkins University,47.6
University of Pennsylvania,47.3
"University of California, San Diego",47.1
Swiss Federal Institute of Technology Zurich,46.1
"University of California, San Francisco",42.2
University of Michigan-Ann Arbor,42.2
Washington University in St. Louis,41.7
Imperial College London,41.6
University of Toronto,41.4
The University of Tokyo,40.7
University of Copenhagen,40.2
University of Wisconsin - Madison,38.8
Duke University,38.6
Northwestern University,38.4
New York University,38.1
The University of Edinburgh,37.4
Kyoto University,37.0
University of North Carolina at Chapel Hill,36.9
The University of Manchester,36.9
Rockefeller University,36.2
University of British Columbia,36.2
University of Paris-Sud (Paris 11),36.1
University of Illinois at Urbana-Champaign,35.8
University of Colorado at Boulder,35.8
Karolinska Institute,35.8
The University of Melbourne,35.7
"University of Minnesota, Twin Cities",35.7
Tsinghua University,35.4
Sorbonne University,35.1
The University of Texas at Austin,34.3
"University of Maryland, College Park",33.7
Heidelberg University,33.3
"University of California, Santa Barbara",33.2
Utrecht University,32.8
The University of Texas Southwestern Medical Center at Dallas,32.8
