Month,Number of weeks at No. 1
Roger Federer (SUI),310
Pete Sampras (USA),286
Ivan Lendl (CZE),270
Jimmy Connors (USA),268
Novak Djokovic (SRB),232
John McEnroe (USA),170
Rafael Nadal (ESP),196
Bjorn Borg (SWE),109
Andre Agassi (USA),101
Lleyton Hewitt (AUS),80
Stefan Edberg (SWE),72
Jim Courier (USA),58
Gustavo Kuerten (BRA),43
Andy Murray (GBR),41
Ilie Nastase (ROM),40
Mats Wilander (SWE),20
Andy Roddick (USA),13
Boris Becker (GER),12
Marat Safin (RUS),9
Juan Carlos Ferrero (ESP),8
John Newcombe (AUS),8
