Response,Share of respondents
It is a great opportunity to buy gifts for the holidays,42%
It's a tradition,39%
I like it even more now that I can shop online,37%
It is the best opportunity to buy expensive items at a discount,33%
It is when you find promotions that are not available at any other time of year,31%
It is a good way to spend quality time with friends/family,19%
I will wait until Cyber Monday to do most of my shopping,18%
Promotions are never on products I am interested in,16%
Retailers just discount their worst brands,9%
None of these,5%
