Football Club,Appearances by club
Real Madrid,49
SL Benfica,38
AFC Ajax,35
FC Bayern München,35
FC Dynamo Kyiv,35
RSC Anderlecht,34
Juventus,33
Celtic FC,33
FC Porto,33
Olympiacos FC,31
Rangers FC,30
FC Barcelona,29
Manchester United FC,28
AC Milan,28
Panathinaikos FC,28
Linfield FC,28
AC Sparta Praha,27
PSV Eindhoven,27
FC Steaua Bucuresti,26
Fenerbahce SK,26
Galatasaray AS,25
PFC CSKA Sofia,25
FK Crvena zvezda,24
Rosenborg BK,24
Liverpool FC,23
FK Partizan,22
AS Jeunesse Esch,22
Arsenal FC,21
Sporting Clube de Portugal,21
