Year,Gross domestic product in billion U.S. dollars
2024*,891.27
2023*,852.44
2022*,816.37
2021*,782.01
2020*,749.42
2019*,715.36
2018*,705.55
2017,680.03
2016,671.4
2015,679.73
2014,709.48
2013,688.75
2012,667.89
2011,699.67
2010,583.05
2009,541.62
2008,553.84
2007,480.27
2006,431.14
2005,408.68
2004,393.58
2003,353.15
2002,301.52
2001,278.68
2000,272.19
1999,289.54
1998,294.82
1997,286.57
1996,330.25
1995,342.76
1994,292.68
1993,264.18
1992,271.58
1991,261.2
1990,258.02
1989,202.21
1988,209.37
1987,193.38
1986,154.45
1985,107.78
1984,106.27
