Year,Inflation rate compared to previous year
2024*,3.28%
2023*,3.22%
2022*,3.09%
2021*,2.84%
2020*,2.34%
2019*,0.86%
2018,3.23%
2017,3.68%
2016,1%
2015,1.28%
2014,3.22%
2013,3.54%
2012,3.86%
2011,6.53%
2010,2.92%
2009,2.52%
2008,9.72%
2007,8.83%
2006,8.91%
2005,4.94%
2004,4.71%
2003,2.69%
2002,6.41%
2001,5.39%
2000,4.22%
1999,6.88%
1998,6.81%
1997,6.83%
1996,6.55%
1995,6.03%
1994,7.34%
1993,15.29%
1992,2.86%
1991,12.82%
1990,10.71%
1989,13.61%
1988,3.6%
1987,0.72%
1986,4.34%
1985,8.32%
1984,5.53%
