Year,GDP per capita in U.S. dollars
2024*,17685.87
2023*,16542.17
2022*,15455.17
2021*,14398.64
2020*,13414.49
2019*,12482.97
2018,12269.84
2017,10761.71
2016,9538.93
2015,8950.46
2014,10004.88
2013,9537.82
2012,8518.92
2011,9081.72
2010,8190.57
2009,8517.6
2008,10385.85
2007,8262.41
2006,5811.44
2005,4662.67
2004,3541.52
2003,2768.12
2002,2118.57
2001,1817.05
2000,1669.98
1999,1611.13
1998,1897.42
1997,1581.75
1996,1575.5
1995,1573.13
1994,1325.48
1993,1154.67
1992,853.11
1991,1249.01
1990,1652.37
1989,2329.57
1988,2609.66
1987,2534.07
1986,2278.87
1985,2115.46
1984,1721.25
