Year,Price in U.S. dollars per barrel
2020*,57.52
2019,56.98
2018,64.94
2017,50.88
2016,43.29
2015,48.66
2014,93.17
2013,97.98
2012,94.05
2011,94.88
2010,79.39
2009,61.73
2008,99.06
2007,72.26
2006,66.0
2005,56.44
2004,41.25
2003,31.01
2002,26.17
2001,25.9
2000,30.26
1999,19.31
1998,14.39
1997,20.61
1996,22.16
1995,18.42
1994,17.21
1993,18.45
1992,20.57
1991,21.54
1990,24.52
1989,19.68
1988,15.97
1987,19.19
1986,15.04
1985,27.99
1984,29.29
1983,30.3
1982,33.65
1981,36.08
1980,37.96
1979,25.08
1978,14.55
1977,14.22
1976,12.23
