Response,Share of respondents
Sexual harassment,40%
Sexual violence,37%
Physical violence,32%
Domestic abuse,19%
Equal pay,19%
Workplace discrimination,18%
Gender stereotyping,16%
Sexualization of women and girls in the media,15%
Access to employment,9%
Balancing work and caring responsibilities,8%
Lack of women in leadership roles in business and public life,7%
Abuse on social media,7%
Support for pregnant women and new mothers,6%
"The amount of unpaid work that women do (e.g. cooking, cleaning, childcare)",6%
Lack of financial/economic independence,5%
