Institutions,Endowment fund value in billion U.S. dollars
"Harvard University, MA",39.43
"The University of Texas System, TX",30.96
"Yale University, CT",30.31
"Stanford University, CA",27.7
"Princeton University, NJ",26.12
"Massachusetts Institute of Technology, MA",17.57
"University of Pennsylvania, PA",14.65
"The Texas A&M University System, TX",13.51
"University of Michigan, MI",12.45
"University of California, CA",11.8
"University of Notre Dame, IN",11.27
"Northwestern University, IL",11.09
"Columbia University, NY",10.95
"Duke University, NC",8.61
"The University of Chicago, IL",8.26
"Washington University in St. Louis, MO",7.95
"Emory University, GA",7.87
"Cornell University, NY",7.33
"University of Virginia, VA",7.06
"Rice University, TX",6.48
