Institution,Number of students*
Total,1844600
Comprehensive schools**,541200
Adult education centres,465400
Vocational institutes,189100
Universities,158200
Universities of applied sciences,145500
Upper secondary general schools,109900
Music schools and colleges,62800
Comprehensive and upper secondary general level schools,28400
Study circle centres,28000
Specialised vocational institutes,25500
Summer universities,24900
Folk high schools,18600
Vocational adult education centres,18100
Sports institutes,18000
Special needs vocational institutes,5000
Comprehensive school level special education schools,4200
Military academies,1000
Other educational institutions,500
"Fire, police and security service institutes",300
