Year,GDP in billion U.S. dollars
2024*,1099.49
2023*,1036.06
2022*,978.76
2021*,904.56
2020*,813.81
2019*,743.71
2018,771.27
2017,852.65
2016,863.39
2015,859.45
2014,934.08
2013,950.33
2012,873.7
2011,832.5
2010,772.29
2009,644.47
2008,764.64
2007,675.01
2006,550.8
2005,501.16
2004,404.85
2003,311.94
2002,238.34
2001,200.31
2000,273.09
1999,256.49
1998,276.01
1997,261.78
1996,250.26
1995,233.34
1994,179.21
1993,248.45
1992,219.09
1991,208.11
1990,207.38
1989,147.69
1988,125.15
1987,118.89
1986,102.3
1985,92.76
1984,82.58
