Response,Share of respondents
Exercise more,59%
Eat healthier,54%
Save money,51%
Lose weight,48%
Reduce stress,38%
Stick to a budget,35%
Get more sleep,31%
Spend more time with family,30%
Learn a new skill,27%
Travel more,24%
Make more friends,22%
Get a better job,22%
Improve my relationship with my partner,22%
Spend less time on social media,19%
Dress better/ improve my sense of style,18%
Find love/ start a romantic relationship,17%
Spend more time volunteering in my community,14%
Get promoted and/or get a raise at my current job,10%
Stop smoking / smoke less,10%
Stop drinking/ drink less,8%
Spend less time focused on work,7%
Other,5%
Don't know,1%
