Counties In England,Number of inhabitants (in thousands)
Greater London,8908.08
West Midlands,2916.46
Greater Manchester,2812.57
West Yorkshire,2320.21
Hampshire,1844.25
Kent,1846.48
Essex,1832.75
Lancashire,1498.3
Merseyside,1423.07
South Yorkshire,1402.92
Devon,1194.17
Surrey,1189.93
Hertfordshire,1184.37
Nottinghamshire,1154.2
Tyne and Wear,1136.37
Staffordshire,1131.05
North Yorkshire,1101.66
Lincolnshire,1087.66
Cheshire,1059.27
Derbyshire,1053.32
Leicestershire,1053.49
Somerset,965.42
County Durham,924.0
Gloucestershire,916.2
Berkshire,911.4
Norfolk,903.68
West Sussex,858.85
Cambridgeshire,852.52
East Sussex,844.99
Buckinghamshire,808.67
Dorset,772.27
Suffolk,758.56
Northamptonshire,747.62
Wiltshire,720.06
Oxfordshire,687.52
Bedfordshire,669.34
East Yorkshire,600.26
Worcestershire,592.06
Warwickshire,571.01
Cornwall,568.21
Cumbria,498.89
Shropshire,498.07
Bristol,463.41
Northumberland,320.27
Herefordshire,192.11
Isle of Wight,141.54
Rutland,39.97
