Beauty Product,Year-on-year growth of search phrase volume
carbonated clay mask,"5,030%"
carbonated bubble clay mask,"2,188%"
bubble clay mask,"1,899%"
blackhead mask,756%
dead sea mud mask,329%
charcoal mask,274%
sheet mask,184%
korean face mask,173%
charcoal face mask,151%
peel-off face mask,117%
black face mask,100%
turmeric mask,80%
indian clay mask,79%
aztec clay mask,72%
egg white mask,67%
best face masks,66%
best face mask,62%
DIY face mask,48%
mud mask,45%
bentonite clay mask,35%
face mask for acne,33%
clay mask,28%
face mask,26%
turmeric face mask,16%
baking soda face mask,15%
DIY hair mask,4%
face masks for acne,1%
avocado mask,-6%
avocado face mask,-14%
honey face mask,-15%
homemade face mask,-19%
oatmeal face mask,-20%
winter face mask,-36%
