Country,Index value in points
Singapore,94.0
Netherlands,88.66
Belgium,88.54
Luxembourg,88.3
"Hong Kong, China",88.21
Ireland,87.97
Switzerland,86.79
Malta,86.5
Estonia,86.27
United Arab Emirates,85.95
Denmark,84.46
Cyprus,84.28
Czech Republic,84.04
Sweden,83.35
Slovak Republic,83.07
Finland,82.97
Austria,82.86
Hungary,82.69
Bahrain,82.54
Mauritius,82.16
Latvia,82.08
Georgia,82.02
United Kingdom,81.47
Germany,80.49
Portugal,80.17
Lithuania,79.56
Montenegro,78.06
France,78.06
Bulgaria,77.82
Norway,77.53
Slovenia,77.26
Malaysia,76.77
Spain,76.59
Panama,76.07
Qatar,76.06
Croatia,75.7
Seychelles,74.82
Poland,73.53
Serbia,73.42
Greece,72.88
Kuwait,72.48
"Micronesia, Fed. Sts.",72.25
Canada,71.71
"Macedonia, FYR",71.31
Romania,71.03
Azerbaijan,70.92
New Zealand,70.28
Italy,70.2
Chile,70.18
Albania,69.92
Israel,69.92
Armenia,69.51
Kiribati,69.24
Iceland,69.2
Jordan,69.04
Lebanon,69.0
Antigua and Barbuda,68.57
Australia,68.17
United States,68.13
Cambodia,67.97
"Macao, China",67.35
Oman,67.3
Thailand,67.06
Bermuda,66.87
Brunei Darussalam,66.8
Japan,66.65
Trinidad and Tobago,66.47
Marshall Islands,66.33
Mongolia,65.68
Moldova,65.3
St. Lucia,65.29
Ukraine,64.97
Nicaragua,64.91
Grenada,64.39
"Korea, Rep.",64.27
Costa Rica,64.14
Vanuatu,63.69
Dominica,63.38
Belarus,62.99
Mozambique,62.96
Jamaica,62.92
Belize,62.9
Aruba,62.86
Maldives,62.25
Kyrgyz Republic,62.04
El Salvador,61.96
Mexico,61.84
St. Vincent and the Grenadines,61.81
Equatorial Guinea,61.51
Peru,61.47
Barbados,61.11
Uruguay,61.08
Bosnia and Herzegovina,60.99
Saudi Arabia,60.83
St. Kitts and Nevis,60.8
Vietnam,60.4
Suriname,59.51
Honduras,59.39
Tonga,59.38
Djibouti,59.3
