Month,Price in GBP per kilogram
Nov '19,3.4
Oct '19,2.78
Sep '19,2.97
Aug '19,1.88
Jul '19,2.95
Jun '19,2.92
May '19,3.02
Apr '19,6.34
Nov '18,3.07
Oct '18,2.37
Sep '18,3.67
Aug '18,1.48
Jul '18,2.63
Jun '18,2.39
May '18,2.22
Apr '18,3.47
Nov '17,1.88
Oct '17,2.16
Sep '17,2.39
Aug '17,2.61
Jul '17,3.21
Jun '17,2.29
May '17,2.53
Apr '17,1.5
Mar '17,0.86
Dec '16,7.05
Nov '16,2.46
Oct '16,3.12
Sep '16,2.31
Aug '16,2.73
Jul '16,2.54
Jun '16,2.03
May '16,1.86
Apr '16,2.0
Mar '16,2.74
Nov '15,3.64
Oct '15,2.48
Sep '15,2.27
Aug '15,2.16
Jul '15,1.78
Jun '15,1.86
May '15,2.44
Apr '15,1.63
Mar '15,2.23
