Country,Inhabitants per square kilometer
Barbados,664.46
Haiti,398.45
Puerto Rico,376.23
Grenada,317.13
El Salvador,307.81
Saint Lucia,293.19
Saint Vincent and the Grenadines,281.79
Trinidad and Tobago,266.89
Jamaica,266.88
Antigua and Barbuda,231.85
Dominican Republic,222.87
Saint Kitts and Nevis,212.87
Guatemala,157.83
Cuba,110.41
Dominica,98.57
Costa Rica,96.08
Honduras,82.81
Ecuador,66.94
Mexico,66.44
Panama,55.13
Nicaragua,51.67
Colombia,44.22
Bahamas,39.5
Venezuela,36.25
Regional average,32.14
Peru,25.13
Brazil,25.04
Chile,24.28
Uruguay,19.75
Paraguay,17.14
Belize,16.43
Argentina,16.18
Bolivia,10.2
Guyana,3.95
Suriname,3.61
