Month,Percentage change**
Sep 19,6.6%
Aug 19,8.5%
Jul 19,13.2%
Jun 19,17.9%
May 19,6.5%
Apr 19,15.9%
Mar 19,12.3%
Feb 19,12%
Jan 19,11%
Dec 18,13.4%
Nov 18,19.2%
Oct 18,13.8%
Sep 18,18.7%
Aug 18,11.8%
Jul 18,16%
Jun 18,18.9%
May 18,24%
Apr 18,24.5%
Mar 18,13.2%
Feb 18,10.9%
Jan 18,18%
Dec 17,20.5%
Nov 17,15.6%
Oct 17,19.1%
Sep 17,24.9%
Aug 17,22.2%
Jul 17,18.4%
Jun 17,17.3%
May 17,13.4%
Apr 17,9.7%
Mar 17,25.9%
Feb 17,16.5%
Jan 17,12.9%
Dec 16,8.2%
Nov 16,10.2%
Oct 16,7.2%
Sep 16,-1.2%
Aug 16,-3%
Jul 16,9.6%
Jun 16,-0.5%
May 16,12.7%
Apr 16,4.4%
Mar 16,3.1%
Feb 16,12.7%
Jan 16,9.9%
Dec 15,10.2%
Nov 15,18.9%
Oct 15,15.6%
Sep 15,9%
Aug 15,12.7%
Jul 15,6%
Jun 15,17.1%
May 15,1.8%
Apr 15,16%
Mar 15,7.9%
Feb 15,8.9%
Jan 15,13.9%
Dec 14,20.4%
Nov 14,20.3%
Oct 14,16.9%
Sep 14,14.3%
Aug 14,34%
Jul 14,20.8%
Jun 14,22.1%
May 14,22.8%
Apr 14,11.6%
Mar 14,6.7%
Feb 14,14%
Jan 14,17.2%
Dec 13,4.8%
Nov 13,29.9%
Oct 13,3%
Sep 13,20.4%
Aug 13,6.4%
Jul 13,6.4%
Jun 13,21.8%
May 13,15.1%
Apr 13,18.3%
Mar 13,21.2%
Feb 13,12.6%
Jan 13,10.7%
