State,Percentage of adults
Colorado,22.6%
District of Columbia,23%
Hawaii,23.8%
California,25.1%
Utah,25.2%
Montana,25.3%
New York,25.7%
Massachusetts,25.8%
Nevada,26.7%
Connecticut,26.9%
New Jersey,27.2%
Vermont,27.6%
Washington,27.7%
New Hampshire,28.1%
Florida,28.4%
New Mexico,28.4%
Minnesota,28.4%
Wyoming,28.8%
Maine,29.1%
Idaho,29.3%
Oregon,29.4%
Arizona,29.5%
Virginia,30%
Rhode Island,30%
Illinois,31.1%
United States,31.3%
Maryland,31.3%
Pennsylvania,31.6%
Georgia,31.6%
Delaware,31.8%
South Dakota,31.9%
Wisconsin,32%
North Carolina,32.1%
Kansas,32.3%
Michigan,32.3%
Missouri,32.5%
Nebraska,32.8%
Tennessee,32.8%
Texas,33%
North Dakota,33.1%
Indiana,33.6%
Ohio,33.8%
South Carolina,34.1%
Alaska,34.2%
Kentucky,34.3%
Arkansas,35%
Louisiana,36.2%
Alabama,36.3%
Iowa,36.4%
Oklahoma,36.5%
Mississippi,37.3%
West Virginia,38.1%
