Month,Wealth in billion U.S. dollars
Jeff Bezos (United States),131.0
Bill Gates (United States),96.5
Warren Buffet (United States),82.5
Bernard Arnault (France),76.0
Carlos Slim Helú (Mexico),64.0
Armancio Ortega (Spain),62.7
Larry Ellison (United States),62.5
Mark Zuckerberg (United States),62.3
Michael Bloomberg (United States),55.5
Larry Page (United States),50.8
Charles Koch (United States),50.5
David Koch (United States),50.5
Mukesh Ambani (India),50.0
Sergey Brin (United States),49.8
Francoise Bettencourt Meyers (France),49.3
Jim Walton (United States),44.6
Alice Walton (United States),44.4
"S. Robson ""Rob"" Walton (United States)",44.3
Steve Ballmer (United States),41.2
Ma Huateng (China),38.8
Jack Ma (China),37.3
Hui Ka Yan (China),36.2
Beate Heister & Karl Albrecht Jr. (Germany),36.1
Sheldon Adelson (United States),35.1
Michael Dell (United States),34.3
