Year,GDP per capita in U.S. dollars
2024*,2846.76
2023*,2628.01
2022*,2426.07
2021*,2239.62
2020*,2067.54
2019*,1905.72
2018*,1749.33
2017*,1605.99
2016*,1458.85
2015*,1303.18
2014*,1163.04
2013,1030.03
2012,916.03
2011,857.5
2010,807.53
2009,728.39
2008,655.95
2007,584.5
2006,523.03
2005,495.49
2004,485.66
2003,454.1
2002,419.69
2001,406.41
2000,412.33
1999,415.37
1998,407.35
1997,402.89
1996,393.53
1995,383.1
1994,353.91
1993,332.77
1992,324.43
1991,331.73
1990,329.49
1989,324.93
1988,302.59
1987,287.84
1986,267.98
1985,262.55
1984,262.12
