Country,FDI in million Canadian dollars
United States,406051
Netherlands,106706
Luxembourg,55828
United Kingdom,50353
Switzerland,46147
Japan,28871
Hong Kong,21802
Germany,17008
People's Republic of China,16959
Bermuda,16604
Brazil,14628
France,13509
Australia,9682
Cayman Islands,8912
Ireland,8094
Belgium,8015
Spain,4823
Norway,4563
United Arab Emirates,3441
British Virgin Islands,2928
Poland,2830
Mexico,2730
Sweden,2585
India,2561
South Korea,2398
Hungary,2289
Kuwait,2158
Russian Federation,1581
Italy,1510
Chile,1439
Uruguay,1329
Barbados,1256
Nigeria,934
Austria,922
Cyprus,898
Finland,776
South Africa,754
Denmark,728
Kyrgyzstan,693
Yemen,348
Malaysia,241
Israel,181
New Zealand,127
Singapore,116
Indonesia,84
Taiwan,76
Portugal,70
Thailand,56
Liberia,49
Guyana,1
Jamaica,1
Philippines,-1
Iceland,-1
Panama,-1
Costa Rica,-1
Turkey,-2
Colombia,-7
Bahamas,-39
Argentina,-60
