Month,Units sold
Dec 19,5719
Nov 19,5504
Oct 19,5092
Sep 19,10918
Aug 19,3608
Jul 19,5666
Jun 19,7313
May 19,6115
Apr 19,5674
Mar 19,16318
Feb 19,3271
Jan 19,5653
Dec 18,4763
Nov 18,5270
Oct 18,5424
Sep 18,11070
Aug 18,3966
Jul 18,5561
Jun 18,7876
May 18,6335
Apr 18,6225
Mar 18,16301
Feb 18,3066
Jan 18,5276
Dec 17,4134
Nov 17,5073
Oct 17,5201
Sep 17,12810
Aug 17,2601
Jul 17,4861
Jun 17,7688
May 17,6060
Apr 17,5405
Mar 17,19014
Feb 17,3273
Jan 17,5952
Dec 16,5753
Nov 16,5868
Oct 16,5922
Sep 16,16130
Aug 16,3164
Jul 16,6916
Jun 16,8773
May 16,8208
Apr 16,6804
Mar 16,20209
Feb 16,3469
Jan 16,7313
Dec 15,6587
Nov 15,6722
Oct 15,6347
Sep 15,16875
Aug 15,3304
Jul 15,7077
Jun 15,10004
May 15,6922
Apr 15,7498
Mar 15,21825
Feb 15,3917
Jan 15,7171
Dec 14,5509
Nov 14,6772
Oct 14,5867
Sep 14,17865
Aug 14,3280
Jul 14,6845
