Year,GDP per capita in U.S. dollars
2024*,76252.11
2023*,73953.43
2022*,71760.35
2021*,69643.84
2020*,67426.84
2019*,65111.6
2018,62868.92
2017,59999.51
2016,57901.07
2015,56787.46
2014,55010.07
2013,53061.24
2012,51556.17
2011,49825.5
2010,48402.58
2009,47007.67
2008,48283.41
2007,47869.24
2006,46213.51
2005,44025.56
2004,41629.86
2003,39411.55
2002,37971.28
2001,37101.1
2000,36317.74
1999,34494.54
1998,32833.67
1997,31440.09
1996,29946.97
1995,28671.48
1994,27674.02
1993,26364.19
1992,25392.93
1991,24302.78
1990,23847.98
1989,22814.08
1988,21376.0
1987,20000.97
1986,19034.77
1985,18199.32
1984,17086.44
