Year,GDP in billion U.S. dollars
2024*,1096.0
2023*,1050.23
2022*,1009.88
2021*,970.52
2020*,930.99
2019*,902.36
2018,914.52
2017,833.58
2016,783.84
2015,765.65
2014,892.4
2013,877.2
2012,839.44
2011,904.92
2010,848.13
2009,870.28
2008,952.49
2007,848.66
2006,733.95
2005,686.2
2004,657.86
2003,479.79
2002,473.07
2001,431.51
2000,417.58
1999,447.47
1998,438.61
1997,417.33
1996,450.63
1995,421.71
1994,381.87
1993,355.3
1992,365.36
1991,330.51
1990,320.84
1989,260.07
1988,263.76
1987,246.49
1986,201.24
1985,144.4
1984,142.33
