State,"Rate per 100,000 inhabitants"
Alaska,161.6
Michigan,76.9
Nevada,76.8
Arkansas,72.9
Colorado,71.5
South Dakota,69.6
New Mexico,64.6
District of Columbia,64.1
Nebraska,63.9
Oklahoma,58.3
Utah,55.5
Kansas,53.8
North Dakota,52.2
Montana,51.9
Texas,51.2
Arizona,50.7
South Carolina,47.9
Missouri,47.5
Oregon,47.1
Illinois,46.0
Vermont,45.8
Rhode Island,45.5
Washington,45.3
Ohio,45.3
Idaho,45.1
Louisiana,44.7
Hawaii,44.0
Minnesota,43.9
United States,42.6
Wyoming,42.1
Tennessee,41.7
Alabama,40.8
Florida,39.6
New Hampshire,39.4
California,39.2
Wisconsin,38.7
Kentucky,38.2
West Virginia,36.1
Indiana,35.4
Pennsylvania,35.0
Delaware,34.9
Massachusetts,34.9
Virginia,34.3
New York,33.6
Maine,33.3
Maryland,32.8
Iowa,30.9
North Carolina,25.4
Georgia,25.2
Connecticut,23.5
Mississippi,18.0
New Jersey,16.0
