Month,Payroll in thousand U.S. dollars
Michael Bradley,6500.0
Jozy Altidore,6332.25
Alejandro Pozuelo Melero,3800.0
Jonathan Osorio,776.25
Chris Mavinga,663.33
Laurent Ciman,435.63
Alex Bono,382.0
Drew Moor,375.0
Justin Morrow,330.0
Eriq Zavaleta,296.96
Auro,276.67
Marco Delgado,253.0
Terrence Boyd,213.83
Nick DeLeon,175.27
Jay Chapman,138.5
Jordan Hamilton,137.66
Griffin Dorsey,134.0
Ashtone Morgan,133.5
Ayo Akinola,124.26
Quentin Westberg,115.25
Liam Fraser,75.88
Tsubasa Endoh,74.25
Caleb Patterson-Sewell,70.88
Jon Bakero,70.25
Ryan Telfer,70.25
Noble Okello,68.06
Aidan Daniels,57.23
Julian Dunn,57.23
Richie Karyea,56.25
