Year,Inflation rate compared to previous year
2024*,2.98%
2023*,2.99%
2022*,3.06%
2021*,3.13%
2020*,3.28%
2019*,3.21%
2018,3.2%
2017,3.81%
2016,3.53%
2015,6.36%
2014,6.4%
2013,6.41%
2012,3.98%
2011,5.34%
2010,5.14%
2009,5.05%
2008,9.78%
2007,6.66%
2006,13.1%
2005,10.46%
2004,6.06%
2003,6.77%
2002,11.78%
2001,11.5%
2000,3.77%
1999,20.75%
1998,58.02%
1997,6.19%
1996,8.38%
1995,9.43%
1994,8.52%
1993,9.69%
1992,7.51%
1991,9.37%
1990,7.84%
1989,6.42%
1988,8.04%
1987,9.27%
1986,5.83%
1985,4.73%
1984,10.34%
