Quarter,Size of global sales force
Q4 '19,2316
Q3 '19,2438
Q2 '19,2327
Q1 '19,2377
Q4 '18,2268
Q3 '18,2334
Q2 '18,2373
Q1 '18,2404
Q4 '17,2407
Q3 '17,2457
Q2 '17,2485
Q1 '17,2624
Q4 '16,2626
Q3 '16,2695
Q2 '16,2893
Q1 '16*,3068
Q4 '15,3992
Q3 '15,4168
Q2 '15,4321
Q1 '15,4429
Q4 '14,4984
Q3 '14,4420
Q4 '13,4834
Q3 '13,4801
Q2 '13,4679
Q1 '13,4566
Q4 '12,4677
Q3 '12,5087
Q2 '12,5587
Q1 '12,5735
Q4 '11,5196
Q3 '11,4853
Q2 '11,4850
Q1 '11,3556
Q4 '10,2573
Q3 '10,1572
Q2 '10,1281
Q1 '10,128
Q4 '09,76
Q3 '09,44
Q2 '09,18
Q1 '09,2
