Lobbying Industry,Spending in million U.S. dollars
Pharmaceuticals/Health Products,295.17
Electronics Mfg & Equip,156.39
Insurance,155.5
Oil & Gas,124.7
Business Associations,121.27
Electric Utilities,117.93
Hospitals/Nursing Homes,106.9
Misc Manufacturing & Distributing,105.35
Air Transport,104.44
Telecom Services,100.64
Securities & Investment,100.13
Health Professionals,95.39
Health Services/HMOs,88.66
Real Estate,88.44
Non-Profit Institutions,83.78
Education,80.98
Civil Servants/Public Officials,75.11
Internet,74.72
Automotive,68.92
Commercial Banks,60.89
