Month,Units sold
Dec 19,14117
Nov 19,11642
Oct 19,12088
Sep 19,27834
Aug 19,4853
Jul 19,9198
Jun 19,19985
May 19,12415
Apr 19,10868
Mar 19,30330
Feb 19,6870
Jan 19,9553
Dec 18,11600
Nov 18,12821
Oct 18,11315
Sep 18,27940
Aug 18,5998
Jul 18,9978
Jun 18,22985
May 18,12940
Apr 18,9078
Mar 18,31649
Feb 18,6744
Jan 18,9000
Dec 17,13471
Nov 17,12781
Oct 17,11056
Sep 17,31465
Aug 17,4607
Jul 17,9083
Jun 17,19149
May 17,12731
Apr 17,11277
Mar 17,34867
Feb 17,6119
Jan 17,8489
Dec 16,15066
Nov 16,15330
Oct 16,13541
Sep 16,32595
Aug 16,4752
Jul 16,9699
Jun 16,18712
May 16,15423
Apr 16,10980
Mar 16,32470
Feb 16,5760
Jan 16,8265
Dec 15,17181
Nov 15,11963
Oct 15,13938
Sep 15,29713
Aug 15,4848
Jul 15,9385
Jun 15,17242
May 15,12206
Apr 15,10891
Mar 15,26925
Feb 15,5091
Jan 15,8008
Dec 14,12445
Nov 14,12355
Oct 14,10558
Sep 14,24891
Aug 14,3552
Jul 14,9955
