Title,Units sold
Un appartement à ParisGuillaume Musso,590000
Ta deuxième vie commence quand tu comprends que tu n'en as qu'uneR. Giordano,541000
La jeune fille et la nuitGuillaume Musso,500500
La disparition de Stephanie MailerJoël Dicker,438300
La tresseLaetitia Colomban,412600
Famille parfaiteLisa Gardner,347400
La dernière des StanfieldMarc Levy,328000
"Lucky Luke 8 : Un cow-boy à ParisJul, Achdé",319300
L'amie prodigieuse 3 : Celle qui fuit et celle qui resteElena Ferrante,303600
Couleurs de l'incendiePierre Lemaitre,302300
