Country,GDP per capita in U.S. dollars
Bahamas*,31857.89
Puerto Rico,31651.35
St. Kitts and Nevis,19829.43
Uruguay,17277.97
Antigua and Barbuda,16864.38
Trinidad and Tobago,16843.7
Barbados *,16327.61
Chile,15923.36
Panama,15575.07
Costa Rica,12026.55
Argentina,11652.57
Grenada,10833.66
St. Lucia,10315.03
Mexico,9698.08
Regional average,9023.5
Brazil,8920.76
Cuba *,8541.21
Dominican Republic,7650.07
St. Vincent and the Grenadines,7377.68
Dominica,7031.71
Peru,6947.26
Colombia,6651.29
Ecuador,6344.87
Suriname,5950.21
Paraguay,5871.47
Jamaica,5355.58
Belize,5025.18
Guyana,4634.68
Guatemala,4549.01
El Salvador,4058.24
Bolivia,3548.59
Honduras,2482.73
Nicaragua,2028.9
Haiti,868.28
