Industry,Average usual weekly hours
"Forestry, fishing, mining, quarrying, oil and gas",45.0
Agriculture,43.5
Goods-producing sector,40.4
Construction,40.3
Transportation and warehousing,40.2
Manufacturing,39.3
Utilities,38.6
"Professional, scientific and technical services",37.0
Public administration,36.7
"Finance, insurance, real estate, rental and leasing",36.7
"Total employed, all industries",35.7
Other services (except public administration),34.9
Services-producing sector,34.5
Health care and social assistance,34.2
"Business, building and other support services",33.8
Wholesale and retail trade,33.5
"Information, culture and recreation",32.5
Educational services,31.8
Accommodation and food services,29.8
