Year,Inflation rate compared to previous year
2024*,8%
2023*,8.1%
2022*,8.4%
2021*,8.8%
2020*,9.16%
2019*,9.26%
2018,9.84%
2017,12.37%
2016,17.46%
2015,17.15%
2014,15.49%
2013,11.67%
2012,7.07%
2011,7.68%
2010,6.7%
2009,13.14%
2008,16.51%
2007,10.73%
2006,11.68%
2005,15.1%
2004,12.67%
2003,26.63%
2002,14.85%
2001,32.93%
2000,25.11%
1999,12.47%
1998,19.21%
1997,24.83%
1996,44.49%
1995,59.32%
1994,24.87%
1993,24.94%
1992,10.05%
1991,18.1%
1990,37.24%
1989,25.24%
1988,31.37%
1987,39.76%
1986,24.54%
1985,10.3%
1984,40.03%
