Company,Turnover in billion DKK
A.P. Møller - Mærsk A/S,192.17
Centrica Energy Trading A/S,69.26
Danske Bank A/S,48.15
Ørsted Salg & Service A/S,43.13
Ørsted Wind Power A/S,42.56
Vestas Wind Systems A/S,36.64
Lego A/S,36.39
Coop Danmark A/S,35.54
Energi Danmark A/S,32.54
Lego System A/S,27.35
Equinor Refining Denmark A/S,23.01
Pandora A/S,22.81
Siemens Gamesa Renewable Energy A/S,21.46
Danish Crown A/S,21.41
"Lundbeck A/S, H",18.12
Reitan Distribution A/S,16.98
Coloplast A/S,15.53
Bestseller A/S,13.86
Dansk Shell A/S,13.08
Velux A/S,12.77
