State,Number of children enrolled
United States *,1565168
California,241859
Texas,231485
Florida,173645
New York,121572
Georgia,80536
Illinois,74940
New Jersey,50684
Wisconsin,46736
Oklahoma,39807
Michigan,37325
Massachusetts,34130
Maryland,31162
Pennsylvania,29710
North Carolina,28385
South Carolina,27443
Iowa,27195
Kentucky,21270
Colorado,21037
Arkansas,19498
Louisiana,18911
Tennessee,18354
Virginia,17959
Ohio,17913
Alabama,16051
West Virginia,14629
Connecticut,14449
Kansas,14022
District of Columbia,13332
Nebraska,12950
Washington,12491
Oregon,9464
New Mexico,9119
Vermont,8449
Minnesota,7672
Maine,5551
Arizona,5256
Missouri,2378
Nevada,2102
Mississippi,1840
Rhode Island,1080
North Dakota,965
Delaware,845
Hawaii,373
Alaska,315
Montana,279
Guam,71
