Industry,Value added in billion U.S. dollars
"Finance, insurance, real estate, rental, and leasing",4239.3
Professional and business services,2576.2
Government,2504.7
Manufacturing,2334.6
"Educational services, health care, and social assistance",1780.3
Wholesale trade,1234.0
Retail trade,1132.5
Information,1125.9
Construction,840.0
"Arts, entertainment, recreation, accommodation, and food services",839.1
Transportation and warehousing,648.0
"Other services, except government",434.7
Mining,321.1
Utilities,319.4
"Agriculture, forestry, fishing, and hunting",164.2
